role,normalized_role
(co-) internal supervisor,internal supervisor
(co-direction),program director
(co-tutor),co-tutor
(internal advisor,advisor
1. relatore,supervisor
1. reviewer,reviewer
1. supervisor,supervisor
1. supervisore,supervisor
1. tutor,tutor
1. tutore,tutor
1st reader,referee
1st. supervisor,supervisor
1° cotutor,tutor
1° relatore,supervisor
1° tutor,tutor
2. relatore,supervisor
2. reviewer,referee
2. supervisor,supervisor
2. supervisore,supervisor
2. tutor,tutor
2. tutore,tutor
2nd reader,referee
2nd. supervisor,supervisor
2° cotur,contributor
2° relatore,supervisor
2° tutor,tutor
3. relatore,supervisor
[1. reviewer,referee
[advisor,advisor
[advisor and supervisor,supervisor
[advisors,advisor
[author,candidate
[chairperson,program director
[co-advisors,co-advisor
[co-ordinator,coordinator
[co-relatore,supervisor
[co-tutor,co-tutor
[co-tutors,co-tutor
[contro-relatore,supervisor
[controrelatore,co-examiner
[coord.,coordinator
[coordinator,coordinator
[coordinator of ph. d. course,coordinator
[coordinator of ph.d. course,coordinator
[coordinatore,coordinator
[coordinatore del ciclo,coordinator
[coordinatore del corso,coordinator
[coordinatore del corso di dottorato,coordinator
[coordinatore del corso di dottorato di ricerca,coordinator
[coordinatore del corso di dottorato di ricerca in ingegneria idraulica,coordinator
[coordinatore del corso di dottorato in ingegneria idraulica,coordinator
[coordinatore del dottorato,coordinator
[coordinatore del dottorato di ricerca,coordinator
[coordinatore del dottorato di ricerca in ingegneria del territorio,coordinator
[coordinatore del drppt,coordinator
[coordinatore della scuola di dottorato di ricerca,coordinator
[coordinatrice del dottorato,coordinator
[correlatore,co-supervisor
[correlatore esterno,co-supervisor
[cotutor,co-tutor
[directeur] de thèse,program director
[director,program director
[direttore della ricerca,research director
[direttore della scuola,program director
[direttore e coordinatore,coordinator
[docente guida,supervisor
[ext. reviewers,referee
[external reviewers,external referee
[i coordinatori,coordinator
[i tutors,tutor
[il coordinatore,coordinator
[il coordinatore del dottorato,coordinator
[il coordinatore del dottorato di ricerca,coordinator
[il coordinatore del dottorato di ricerca tecnologie dell'informazione,coordinator
[il relatore,supervisor
[il tutor,tutor
[ph d. coordinator,coordinator
[ph. d student,phd student
[ph. d. coordinator,coordinator
[ph. d. tutor,tutor
[principal advisor,advisor
[rapporteur],referee
[referee,referee
[relatore,supervisor
[relatore della ricerca,supervisor
[relatore di tesi,supervisor
[relatore i. e. coordinatore,coordinator
[relatore/tutore,tutor
[relatori,supervisor
[research supervisor,supervisor
[reviewed by,referee
[reviewer,referee
[reviewers,referee
[sede amministrativa,institution
[sedi consorziate,institution
[supervisor,supervisor
[supervisore,supervisor
[supervisore esterno,external supervisor
[supervisori],supervisor
[supervisors,supervisor
[thesis advisor,advisor
[thesis reviewer,referee
[thesis supervisor,supervisor
[thesis supervisors,supervisor
[tutor,tutor
[tutor accademico,tutor
[tutor aziendale,company tutor
[tutor e coordinatore,coordinator
[tutor/coordinatore,coordinator
[tutor],tutor
[tutore,tutor
[tutori,tutor
[tutors,tutor
abroad supervisor,supervisor
academic,academic
academic adviser,advisor
academic advisor,advisor
academic advisors,advisor
academic co-supervisor,co-supervisor
academic co-tutor,co-tutor
academic relator,supervisor
academic supervisor,supervisor
academic supervisors,supervisor
academic tutor,tutor
academic tutors,tutor
